Inanimate,Angel Statue,N/a,angel,N/a,N/a,N/a,N/a,N/a,11,N/a
Plant,Arrowwood,Viburnum Dentatum,arrowwood,Pinus strobus-Hydrangea quercifolia-Lobelia cardinalis-Hydrangea radiata-Symphyotrichum cordifolium,filtered shade-full sun-partial shade,early summer-late spring,songbirds-grouse-white tailed deer,spring azure butterflies,9,Bush
Plant,Autumn Brilliance Serviceberry,Amelanchirea Xa Grandiflora,autumnserviceberry,Calycanthus floridu-Cornus florida-Kalmia latifolia-Rhododendron vaseyi-Viburnum dentatum-Coreopsis verticillata,filtered shade-full sun-partial shade,mid spring,Orioles-Bluebirds-Cedar Waxwings-Scarlet Tanagers-Northern Flickers-Robins,N/a,20,Tree
Plant,Avondale Blue Wood Aster,"Symphyotrichum Cordifolium ""Avondale""",avondalebluewoodaster,Conoclinium coelestinum-Heliopsis helianthoides var. scabra ‘Summer Nights’-Fothergilla major ‘Blue Shadow’-Amsonia hubrichtii,filtered shade-full sun,early fall-mid fall,songbirds-small mammals,pearl crescent butterflies-bees,3,Bush
Inanimate,Bench,N/a,bench,N/a,N/a,N/a,N/a,N/a,2,N/a
Inanimate ,Bird Feeder,N/a,birdfeeder,N/a,N/a,N/a,N/a,N/a,1,N/a
Inanimate,Birdhouse,N/a,birdhouse,N/a,N/a,N/a,N/a,N/a,1,N/a
Plant,Black Haw,Viburnum Prunifolium,blackhaw,Rhododendron periclymenoides-Kalmia latifolia-Cornus florida-Phlox stolonifera-Packera aurea,filtered shade-full sun-partial shade,late spring-mid spring,songbirds-squirrels-chipmunks,spring azure butterfly-summer azure butterflies,10,Tree
Plant,Bluebird Smooth Aster,"Symphyotrichum Laeve var. Laeve ""Bluebird""",bluebirdsmoothaster,Schizachyrium scoparium-Andropogon virginicus-Rudbeckia fulgida-Eutrochium purpureum ‘Big Umbrella’-Euthamia caroliniana-Solidago rugosa ‘Fireworks’-Helianthus angustifolius,filtered shade-full sun,early fall-late fall-mid fall,songbirds-small mammals,pearl crescent butterflies-bees-butterflies,4,Bush
Inanimate,Bridge,N/a,bridge,N/a,N/a,N/a,N/a,N/a,4,N/a
